,Area (m²),Quartos,Idade (anos),Distância Centro (km),Garagens,Banheiros,Andar,Vista_Mar,Mobilidade,Segurança,Area_Construida (m²),Total_Comodos,Zona,Preço (R$ mil),Area_Total (m²)
0,265.3,3,8,21.3,1,3,3,1,5,6,221.4,6,Afastada,700.4,486.7
1,115.9,4,0,5.9,2,4,6,0,10,10,106.0,8,Intermediária,858.6,221.9
2,62.5,2,28,8.6,1,2,18,0,4,8,53.8,4,Intermediária,628.4,116.3
3,60.7,4,14,0.7,1,4,1,0,4,10,55.1,8,Centro,934.1,115.8
4,102.4,2,13,3.4,1,2,,0,5,8,83.0,4,Centro,904.5,185.4
5,55.1,2,16,16.4,1,1,,1,9,4,46.4,3,Afastada,457.3,101.5
6,163.0,3,29,11.8,3,3,2,0,4,6,139.3,6,Intermediária,609.7,302.3
7,134.2,6,8,5.8,2,4,9,0,1,9,112.7,10,Intermediária,1115.2,246.8
8,124.6,2,1,13.6,1,2,23,0,1,5,108.2,4,Intermediária,635.2,232.7
9,89.1,2,19,4.8,1,2,12,0,10,10,74.5,4,Centro,886.0,163.7
10,75.8,3,6,1.7,1,3,2,0,8,10,69.4,6,Centro,1047.2,145.1
11,76.2,5,3,2.5,1,4,,0,3,9,65.8,9,Centro,936.6,142.1
12,132.7,4,1,10.7,1,4,,0,7,8,111.7,8,Intermediária,894.0,244.5
13,134.5,4,7,4.3,1,4,8,0,8,10,119.8,8,Centro,1226.1,254.3
14,102.0,2,0,8.5,1,2,,0,3,8,87.5,4,Intermediária,679.6,189.5
15,61.5,5,13,2.8,2,4,,0,7,9,52.8,9,Centro,897.1,114.3
16,176.6,3,15,3.6,3,2,12,0,5,10,151.6,5,Centro,978.7,328.2
17,94.7,5,3,9.0,2,4,,1,9,7,72.7,9,Intermediária,934.6,167.4
18,129.4,2,11,5.3,1,2,4,0,5,8,118.3,4,Intermediária,699.7,247.7
19,147.1,2,0,1.4,1,1,23,0,2,10,132.1,3,Centro,1011.0,279.2
20,129.3,2,22,1.7,1,2,,0,8,9,102.2,4,Centro,852.2,231.6
21,99.5,2,1,11.0,1,2,1,0,8,8,87.7,4,Intermediária,679.5,187.3
22,174.2,3,4,3.6,3,3,1,0,8,8,151.1,6,Centro,1155.2,325.3
23,167.0,4,4,0.6,2,4,,1,2,10,146.3,8,Centro,1335.4,313.3
24,137.2,3,1,0.9,3,3,,1,3,10,110.5,6,Centro,1150.3,247.6
25,111.4,4,0,2.7,2,4,1,0,10,9,96.6,8,Centro,1114.2,208.0
26,176.3,2,6,4.7,1,2,9,0,10,8,152.1,4,Centro,973.6,328.5
27,85.6,1,5,0.8,1,1,16,0,3,9,74.1,2,Centro,838.2,159.8
28,144.7,3,0,6.0,2,3,12,0,8,9,122.7,6,Intermediária,958.6,267.4
29,149.7,3,1,9.4,1,3,20,0,6,6,134.0,6,Intermediária,1031.0,283.8
30,192.2,3,5,6.9,2,3,,0,4,7,167.7,6,Intermediária,1025.4,359.9
31,157.0,4,1,3.9,1,4,,0,9,9,138.8,8,Centro,1193.9,295.8
32,103.7,4,5,3.9,1,4,7,1,3,7,87.6,8,Centro,1111.4,191.3
33,218.4,5,18,5.7,1,4,16,0,1,8,174.8,9,Intermediária,1158.3,393.2
34,185.5,3,4,4.9,2,3,,0,7,10,152.8,6,Centro,1119.3,338.3
35,65.9,4,3,9.3,2,4,,0,5,7,41.9,8,Intermediária,950.8,107.8
36,157.9,3,8,6.5,1,3,6,1,4,6,137.8,6,Intermediária,895.9,295.8
37,142.9,3,23,4.4,1,2,,0,4,8,117.5,5,Centro,858.3,260.4
38,211.7,2,27,10.0,0,1,,1,6,9,185.1,3,Intermediária,564.7,396.8
39,207.3,6,9,2.5,1,4,4,0,9,9,178.5,10,Centro,1324.2,385.8
40,127.9,3,2,2.5,1,2,6,1,7,10,110.4,5,Centro,1015.3,238.3
41,84.7,5,1,8.5,2,4,17,0,3,8,65.8,9,Intermediária,1002.5,150.5
42,104.0,1,15,1.0,0,1,24,0,5,9,88.3,2,Centro,667.6,192.3
43,151.4,2,4,2.3,1,2,,0,4,9,126.1,4,Centro,704.2,277.6
44,132.1,3,20,3.5,3,3,11,0,3,10,113.4,6,Centro,1047.4,245.4
